Kode_Kabupaten,Nama_Kabupaten,Tahun,7 - 12 Tahun,13 - 15 Tahun,16 - 18 Tahun,Jumlah_Penduduk_Miskin,Persentase_Penduduk_Miskin,Persentase_Tingkat_Pengangguran,Besaran_Upah
5201,Kabupaten Lombok Barat,2018,99.61,96.18,80.02,103.77,15.2,3.22,1827000.0
5202,Kabupaten Lombok Tengah,2018,99.64,97.49,70.03,130.0,13.87,2.98,1832500.0
5203,Kabupaten Lombok Timur,2018,99.23,98.23,73.68,196.87,16.55,3.02,1831000.0
5204,Kabupaten Sumbawa,2018,98.72,95.76,78.11,63.77,14.08,3.29,1883000.0
5205,Kabupaten Dompu,2018,100.0,98.86,75.17,30.74,12.4,3.18,2000000.0
5206,Kabupaten Bima,2018,99.98,99.09,81.0,71.65,14.84,4.63,1850000.0
5207,Kabupaten Sumbawa Barat,2018,100.0,95.16,78.07,20.36,14.17,3.53,1850000.0
5208,Kabupaten Lombok Utara,2018,98.61,98.21,75.16,62.86,28.83,0.0,1941696.0
5271,Kota Mataram,2018,99.06,98.0,86.06,42.6,8.96,6.49,1863524.0
5272,Kota Bima,2018,100.0,98.73,86.36,14.84,8.79,2.27,1850000.0
5201,Kabupaten Lombok Barat,2019,99.69,96.49,80.28,105.04,15.17,3.52,2013110.0
5202,Kabupaten Lombok Tengah,2019,99.47,97.65,71.04,128.82,13.63,2.35,2021000.0
5203,Kabupaten Lombok Timur,2019,99.29,98.49,73.81,193.56,16.15,3.35,2012900.0
5204,Kabupaten Sumbawa,2019,99.04,96.25,78.32,63.49,13.9,2.99,2014610.0
5205,Kabupaten Dompu,2019,100.0,99.17,75.78,30.81,12.25,3.04,2100000.0
5206,Kabupaten Bima,2019,99.49,99.06,81.87,71.95,14.76,2.79,2028950.0
5207,Kabupaten Sumbawa Barat,2019,100.0,95.15,78.57,20.45,13.85,5.29,2016000.0
5208,Kabupaten Lombok Utara,2019,98.87,97.08,73.23,63.84,29.03,1.99,2055000.0
5271,Kota Mataram,2019,99.66,98.94,87.53,43.19,8.92,5.28,2013165.0
5272,Kota Bima,2019,99.61,99.18,87.07,14.8,8.6,4.06,2050000.0
5201,Kabupaten Lombok Barat,2020,99.75,97.9,80.57,100.25,14.28,4.58,2184425.0
5202,Kabupaten Lombok Tengah,2020,99.42,98.88,71.7,128.1,13.44,3.74,2192987.0
5203,Kabupaten Lombok Timur,2020,99.27,99.08,74.18,183.84,15.24,4.17,2184197.0
5204,Kabupaten Sumbawa,2020,99.2,95.12,78.69,62.88,13.65,4.01,2186053.0
5205,Kabupaten Dompu,2020,99.71,99.73,75.83,30.97,12.16,3.28,2278710.0
5206,Kabupaten Bima,2020,99.95,99.05,81.57,71.32,14.49,2.89,2201613.0
5207,Kabupaten Sumbawa Barat,2020,99.58,94.84,79.19,20.2,13.34,5.5,2187562.0
5208,Kabupaten Lombok Utara,2020,99.75,96.96,73.42,59.86,26.99,3.01,2229880.0
5271,Kota Mataram,2020,99.72,98.07,87.32,41.8,8.47,6.83,2184485.0
5272,Kota Bima,2020,99.21,99.01,87.23,14.66,8.35,4.42,2225000.0
